study_id,query_id,origin,title,first_author,year,venue,doi_or_url,axis,stage,decision,criterion,dedup_of,verified_date,verified_via,bibkey,notes
S011,,known-source,Digital Twin: Mitigating Unpredictable; Undesirable Emergent Behavior in Complex Systems,Grieves,2017,Transdisciplinary Perspectives on Complex Systems (Springer),10.1007/978-3-319-38756-7_4,B,title_abstract,include,I1,,2026-08-08,Crossref API (re-verified 2026-08-08),grieves2017digital,seed; origin of the digital-twin concept; online 2016; print edition 2017
S012,,known-source,Edge Computing: Vision and Challenges,Shi,2016,IEEE Internet of Things Journal,10.1109/JIOT.2016.2579198,A,title_abstract,include,I1,,2026-08-07,Crossref API,shi2016edge,seed; canonical edge-computing survey; provisional inclusion for advisor draft
S013,,known-source,Digital Twin: Enabling Technologies; Challenges and Open Research,Fuller,2020,IEEE Access,10.1109/ACCESS.2020.2998358,B,title_abstract,include,I1,,2026-08-07,Crossref API,fuller2020digital,seed survey identified in project context; provisional inclusion for advisor draft
S014,,compass-lead,Digital Twin in the IoT Context: A Survey on Technical Features; Scenarios; and Architectural Models,Minerva,2020,Proceedings of the IEEE,10.1109/JPROC.2020.2998530,B,title_abstract,include,I1,,2026-08-07,Crossref API,minerva2020digital,compass lead [34]; metadata verified against Crossref before citation
S015,,compass-lead,A Flexible and Modular Architecture for Edge Digital Twin: Implementation and Evaluation,Picone,2023,ACM Transactions on Internet of Things,10.1145/3573206,B;C,title_abstract,include,I1,,2026-08-07,Crossref API,picone2023flexible,compass lead [5]; closest methodological precedent for edge-twin evaluation; abstract re-checked via Crossref 2026-08-08
S016,,compass-lead,A Survey on Edge Performance Benchmarking,Varghese,2021,ACM Computing Surveys,10.1145/3444692,I,title_abstract,include,I1,,2026-08-07,Crossref API,varghese2021survey,compass lead [26]; feeds the experimental-protocol design of Chapter 3
S017,,known-source,An updated performance comparison of virtual machines and Linux containers,Felter,2015,2015 IEEE ISPASS,10.1109/ISPASS.2015.7095802,E,title_abstract,include,I1,,2026-08-07,Crossref API,felter2015updated,seed; widely cited container-overhead baseline; provisional inclusion for advisor draft
S018,,compass-lead,Virtualization on Internet of Things Edge Devices With Container Technologies: A Performance Evaluation,Morabito,2017,IEEE Access,10.1109/ACCESS.2017.2704444,E,title_abstract,include,I1,,2026-08-07,Crossref API,morabito2017virtualization,compass lead [20]; plan section 6.2 flags this entry as frequently mis-cited; metadata matches the Crossref record exactly
S019,,compass-lead,A Comparison of MQTT Brokers for Distributed IoT Edge Computing,Koziolek,2020,Software Architecture (ECSA 2020); LNCS,10.1007/978-3-030-58923-3_23,F,title_abstract,include,I1,,2026-08-07,Crossref API bibliographic query,koziolek2020mqtt,compass lead [16]; only qualitative findings cited (no headline numbers reproduced; abstract not accessible for verification)
S020,,compass-lead,WLDT: A general purpose library to build IoT digital twins,Picone,2021,SoftwareX,10.1016/j.softx.2021.100661,C,title_abstract,include,I1,,2026-08-08,Crossref API,picone2021wldt,compass lead [6]; cited as the library-family alternative in the platform comparison of Chapter 2
S021,Q001,compass-lead,OpenTwins: An open-source framework for the development of next-gen compositional digital twins,Robles,2023,Computers in Industry,10.1016/j.compind.2023.104007,C,title_abstract,include,I1,,2026-08-08,Crossref API,robles2023opentwins,compass lead [10] pointed to arXiv preprint 2301.05560 (different title); journal version of record located via Q001 and used instead per protocol section 7 rule 4; component composition (Ditto core; Hono; Kafka; InfluxDB; Grafana; Kubernetes) confirmed via official OpenTwins documentation (Q002)
S022,,compass-lead,Digital Twins at the Edge: A High-Availability Framework for Resilient Data Processing in IoT Sensor Networks,Neagu,2026,Future Internet,10.3390/fi18030137,A;B,title_abstract,include,I1,,2026-08-08,Crossref API,neagu2026odt,compass lead [33] lacked the author list; authors (Neagu; Serban; Hangan; Sebestyen) and abstract taken from the Crossref record
S023,,compass-lead,Performance Evaluation of the Docker Technology on Different Raspberry Pi Models,Gamess,2023,Proceedings of IECC 2023 (ACM),10.1145/3616480.3616485,E,title_abstract,include,I1,,2026-08-08,Crossref API; abstract via Semantic Scholar API,gamess2023docker,compass lead [19] listed wrong pages (17-29); corrected to 27-37 from Crossref; RAM-limitation conclusion verified against the abstract via Semantic Scholar API 2026-08-08
S024,,known-source,A Survey of Wearable Devices and Challenges,Seneviratne,2017,IEEE Communications Surveys & Tutorials,10.1109/COMST.2017.2731979,H,title_abstract,include,I1,,2026-08-08,Crossref API,seneviratne2017wearables,known survey selected to cover review axis H (wearables); identified without a database query; institutional queries for this axis remain pending
S025,,compass-lead,PMData: a sports logging dataset,Thambawita,2020,Proceedings of the 11th ACM Multimedia Systems Conference (MMSys 20),10.1145/3339825.3394926,H,title_abstract,include,I1,,2026-08-08,Crossref API,thambawita2020pmdata,compass lead [28]; dataset characteristics (16 participants; five months; Fitbit Versa 2; heart rate; steps; sleep) confirmed via public dataset and abstract records (Q003)
